GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,B18AA1970,B18AA1980,B18AA1990,B18AA2000,B18AA2010,B18AB1970,B18AB1980,B18AB1990,B18AB2000,B18AB2010,B18AC1970,B18AC1980,B18AC1990,B18AC2000,B18AC2010,B18AD1970,B18AD1980,B18AD1990,B18AD2000,B18AD2010,B18AE2000,B18AE2010
G3101470,Nebraska,31,310,Richardson County,147,1470,12153,11140,9738,9116,7886,14,0,5,18,15,100,139,176,221,250,10,21,18,35,59,141,153
G3101490,Nebraska,31,310,Rock County,149,1490,2230,2370,2017,1739,1503,0,0,0,0,1,1,2,1,8,9,0,2,1,4,7,5,6
G3101510,Nebraska,31,310,Saline County,151,1510,12750,13024,12537,12872,11783,38,33,16,50,125,8,17,24,52,55,13,48,138,710,2014,159,223
G3101530,Nebraska,31,310,Sarpy County,153,1530,61719,79880,93712,109335,138879,1485,3719,5336,5340,6321,107,261,399,515,733,385,1325,3136,4714,7947,2691,4960
G3101550,Nebraska,31,310,Saunders County,155,1550,16917,18614,18157,19530,20201,33,10,15,21,71,10,52,46,57,53,58,25,67,113,234,109,221
G3101570,Nebraska,31,310,Scotts Bluff County,157,1570,35520,35490,32822,32363,32307,161,7,70,98,204,440,438,662,694,782,311,191,2471,3192,2956,604,721
G3101590,Nebraska,31,310,Seward County,159,1590,14437,15555,15334,16174,16315,10,66,20,47,60,1,95,31,34,53,12,48,65,122,142,119,180
G3101610,Nebraska,31,310,Sheridan County,161,1610,6961,7052,6200,5461,4629,2,0,3,5,12,312,383,524,572,619,10,53,23,31,47,129,162
G3101630,Nebraska,31,310,Sherman County,163,1630,4722,4226,3700,3268,3122,1,0,0,2,3,1,0,3,7,2,1,0,15,23,13,18,12
G3101650,Nebraska,31,310,Sioux County,165,1650,2015,1837,1510,1440,1260,2,0,0,0,1,16,2,1,2,2,1,6,38,20,33,13,15
G3101670,Nebraska,31,310,Stanton County,167,1670,5747,6466,6167,6243,5814,1,0,23,27,41,3,14,37,31,25,7,56,17,97,179,57,70
G3101690,Nebraska,31,310,Thayer County,169,1690,7754,7521,6595,5976,5120,7,0,4,1,12,12,37,18,17,8,6,13,18,27,40,34,48
G3101710,Nebraska,31,310,Thomas County,171,1710,954,968,847,725,635,0,0,0,0,1,0,3,4,2,1,0,2,0,0,3,2,7
G3101730,Nebraska,31,310,Thurston County,173,1730,5024,4714,3861,3282,2801,0,16,8,11,17,1911,2443,3046,3731,3963,7,1,21,59,24,88,135
G3101750,Nebraska,31,310,Valley County,175,1750,5778,5619,5127,4561,4152,0,4,6,7,6,4,8,11,15,5,1,2,25,45,65,19,32
G3101770,Nebraska,31,310,Washington County,177,1770,13219,15410,16403,18427,19673,31,47,85,63,122,51,27,39,38,44,9,16,80,133,198,119,197
G3101790,Nebraska,31,310,Wayne County,179,1790,10370,9769,9257,9534,9091,7,36,40,93,129,10,50,28,34,32,13,3,39,119,236,71,107
G3101810,Nebraska,31,310,Webster County,181,1810,6465,4844,4256,3984,3659,5,0,1,6,18,3,2,6,11,8,4,12,16,31,69,29,58
G3101830,Nebraska,31,310,Wheeler County,183,1830,1053,1060,945,878,804,0,0,0,0,0,0,0,0,2,1,1,0,3,5,6,1,7
G3101850,Nebraska,31,310,York County,185,1850,13578,14653,14216,14128,12980,51,45,89,140,158,23,3,48,42,58,33,86,75,176,330,112,139
